true_prevalence,epsilon,seed,is_null_condition,noisy_count,noisy_proportion,ci_lower,ci_upper,detected
0.005,0.1,958958612,False,7,0.0015032662288917292,0.0,0.007987535219268331,True
0.005,0.1,118855314,False,37,0.008113132676660681,0.0016288636862840794,0.014597401667037282,True
0.005,0.1,1032749561,False,39,0.00838088198050621,0.0018966129901296092,0.014865150970882812,True
0.005,0.1,763373301,False,24,0.005133202173202309,0.0,0.011617471163578912,True
0.005,0.1,1289175743,False,36,0.007726682892799175,0.0012424139024225737,0.014210951883175777,True
0.005,0.1,1726216434,False,17,0.003727735791690558,0.0,0.01021200478206716,True
0.005,0.1,310868727,False,21,0.004613908753523901,0.0,0.011098177743900503,True
0.005,0.1,43357666,False,3,0.0007455389362396704,0.0,0.007229807926616272,True
0.005,0.1,2094958334,False,29,0.006192340829408831,0.0,0.012676609819785432,True
0.005,0.1,380770201,False,32,0.006975760732912423,0.0004914917425358212,0.013460029723289024,True
0.005,0.1,485165543,False,24,0.005130146887768393,0.0,0.011614415878144994,True
0.005,0.1,1081510317,False,27,0.005935865081437475,0.0,0.012420134071814077,True
0.005,0.1,937304369,False,24,0.005163539267904996,0.0,0.011647808258281597,True
0.005,0.1,1525966350,False,40,0.008646595134311506,0.002162326143934905,0.015130864124688108,True
0.005,0.1,1249698276,False,30,0.006490437429941029,6.168439564427364e-06,0.01297470642031763,True
0.005,0.1,181605581,False,20,0.004256847552606286,0.0,0.010741116542982886,True
0.005,0.1,1690015643,False,19,0.004120386955886252,0.0,0.010604655946262854,True
0.005,0.1,796931229,False,29,0.006301573431063962,0.0,0.012785842421440563,True
0.005,0.1,1674124897,False,15,0.0032318403703147985,0.0,0.009716109360691401,True
0.005,0.1,1491565459,False,20,0.0042870895019692466,0.0,0.010771358492345848,True
0.005,0.1,2139370443,False,34,0.007332251368500398,0.0008479823781237968,0.013816520358877,True
0.005,0.1,1677906325,False,28,0.00601017149498263,0.0,0.012494440485359231,True
0.005,0.1,604675548,False,34,0.007423108744826508,0.0009388397544499065,0.013907377735203109,True
0.005,0.1,8895751,False,21,0.004490972639903875,0.0,0.010975241630280477,True
0.005,0.1,1605658934,False,0,0.0,0.0,0.0064842689903766015,True
0.005,0.1,1045120036,False,28,0.0060486917039851195,0.0,0.01253296069436172,True
0.005,0.1,1509174427,False,50,0.010772683975154514,0.004288414984777913,0.017256952965531116,True
0.005,0.1,1724371047,False,28,0.005955030132473528,0.0,0.01243929912285013,True
0.005,0.1,1187402896,False,26,0.005696863296611322,0.0,0.012181132286987924,True
0.005,0.1,2109060386,False,17,0.0037198652903446426,0.0,0.010204134280721245,True
0.005,0.5,1612620886,False,23,0.0050057580949368855,0.003708904296861565,0.0063026118930122055,True
0.005,0.5,1653000169,False,16,0.0035111962176473496,0.0022143424195720292,0.00480805001572267,True
0.005,0.5,1574056709,False,21,0.00449093916599807,0.0031940853679227493,0.0057877929640733905,True
0.005,0.5,1765408963,False,18,0.00395862951114783,0.0026617757130725094,0.005255483309223151,True
0.005,0.5,494816964,False,16,0.0035284981020697304,0.00223164430399441,0.004825351900145051,True
0.005,0.5,1050479979,False,25,0.005385512751223119,0.004088658953147799,0.006682366549298439,True
0.005,0.5,1021569043,False,29,0.006310824663099548,0.005013970865024227,0.007607678461174869,True
0.005,0.5,987320405,False,23,0.005008843268624485,0.003711989470549165,0.006305697066699806,True
0.005,0.5,406565187,False,23,0.0050728409875995095,0.003775987189524189,0.006369694785674829,True
0.005,0.5,159658241,False,22,0.004860169699311848,0.0035633159012365277,0.006157023497387169,True
0.005,0.5,427819849,False,23,0.004884244255976618,0.0035873904579012974,0.006181098054051938,True
0.005,0.5,1176483225,False,20,0.004317503217533465,0.0030206494194581443,0.0056143570156087855,True
0.005,0.5,1280496958,False,23,0.004938830263876024,0.003641976465800704,0.006235684061951345,True
0.005,0.5,1397091622,False,23,0.00489369900098317,0.0035968452029078494,0.00619055279905849,True
0.005,0.5,445549703,False,27,0.005762041409522902,0.0044651876114475825,0.007058895207598222,True
0.005,0.5,1517447019,False,25,0.005320332063143332,0.004023478265068011,0.006617185861218653,True
0.005,0.5,1880710613,False,24,0.005244113455265667,0.003947259657190347,0.006540967253340987,True
0.005,0.5,1243427657,False,26,0.0057053877987154455,0.0044085340006401255,0.0070022415967907654,True
0.005,0.5,585625543,False,22,0.0047926200802510316,0.003495766282175711,0.006089473878326352,True
0.005,0.5,1880723309,False,24,0.005283959585985072,0.003987105787909751,0.0065808133840603925,True
0.005,0.5,1312730373,False,18,0.003902373144704642,0.0026055193466293218,0.005199226942779963,True
0.005,0.5,1243185883,False,22,0.004685672392012559,0.0033888185939372384,0.00598252619008788,True
0.005,0.5,1321736696,False,24,0.005095730092202336,0.0037988762941270154,0.006392583890277656,True
0.005,0.5,788899371,False,23,0.005025102118618121,0.0037282483205428,0.0063219559166934405,True
0.005,0.5,1487704172,False,24,0.005122994073692201,0.003826140275616881,0.006419847871767522,True
0.005,0.5,763651815,False,18,0.003961081360459525,0.0026642275623842047,0.005257935158534845,True
0.005,0.5,2009355922,False,23,0.00503473365602892,0.0037378798579535996,0.00633158745410424,True
0.005,0.5,785755220,False,24,0.005141182413663516,0.0038443286155881956,0.006438036211738836,True
0.005,0.5,1952051349,False,28,0.006142825699374773,0.004845971901299453,0.007439679497450093,True
0.005,0.5,511855343,False,22,0.004838731640987697,0.0035418778429123763,0.0061355854390630175,True
0.005,1.0,1672057569,False,21,0.004644641790253788,0.003996214891216128,0.005293068689291448,True
0.005,1.0,1784327856,False,24,0.005206134781167384,0.004557707882129724,0.005854561680205044,True
0.005,1.0,1473593715,False,23,0.005076305397379498,0.004427878498341838,0.005724732296417158,True
0.005,1.0,760508429,False,23,0.004895020368410739,0.004246593469373079,0.005543447267448399,True
0.005,1.0,176132050,False,21,0.004473745913074093,0.0038253190140364332,0.005122172812111753,True
0.005,1.0,138928264,False,23,0.004972082842576416,0.004323655943538756,0.005620509741614076,True
0.005,1.0,1472001914,False,23,0.004918245347204833,0.004269818448167173,0.005566672246242493,True
0.005,1.0,874557312,False,23,0.004962114394086061,0.004313687495048401,0.005610541293123721,True
0.005,1.0,12843229,False,22,0.004798298289528922,0.004149871390491262,0.005446725188566582,True
0.005,1.0,1456310368,False,21,0.004617613546255911,0.003969186647218251,0.005266040445293571,True
0.005,1.0,1123372723,False,23,0.005033919265292951,0.004385492366255291,0.005682346164330611,True
0.005,1.0,1427827805,False,25,0.005415804108070386,0.004767377209032726,0.006064231007108046,True
0.005,1.0,426901738,False,23,0.004963704779345693,0.004315277880308033,0.005612131678383353,True
0.005,1.0,525429630,False,23,0.005066786350808071,0.004418359451770411,0.005715213249845731,True
0.005,1.0,277597087,False,24,0.005227689712457039,0.004579262813419379,0.005876116611494699,True
0.005,1.0,1713335355,False,24,0.005239983636756016,0.004591556737718356,0.005888410535793676,True
0.005,1.0,1856059040,False,23,0.004907884831978676,0.004259457932941016,0.0055563117310163355,True
0.005,1.0,438838689,False,25,0.005372628948084992,0.004724202049047332,0.006021055847122652,True
0.005,1.0,229265289,False,23,0.004955402215394318,0.004306975316356658,0.005603829114431978,True
0.005,1.0,1646447797,False,23,0.004968661032430646,0.004320234133392986,0.005617087931468306,True
