epsilon,seed,true_gap,dp_gap,direction_match,pct_diff,survived
0.1,505466217,0.06703633914045493,0.007268418683578859,True,0.8915749461146734,False
0.1,1235095839,0.06703633914045493,-0.016635147206001788,False,1.24815118813615,False
0.1,434924670,0.06703633914045493,0.02248148285548479,True,0.6646373721515213,False
0.1,1409661113,0.06703633914045493,0.03762921643253625,True,0.43867435311920455,False
0.1,382251919,0.06703633914045493,0.015521393495610658,True,0.768462990452236,False
0.1,58063026,0.06703633914045493,0.004583457346589381,True,0.9316272725307077,False
0.1,1009146652,0.06703633914045493,0.006804965345672098,True,0.8984884104214835,False
0.1,1087823364,0.06703633914045493,0.01350614904132863,True,0.7985249610210595,False
0.1,972233924,0.06703633914045493,-0.0027960275823174507,False,1.041709132959352,False
0.1,1389783718,0.06703633914045493,-0.0240449138362121,False,1.3586847692537782,False
0.1,1165936069,0.06703633914045493,0.012065080481604484,True,0.8200217876407949,False
0.1,577781726,0.06703633914045493,0.013581793010563947,True,0.7973965585723991,False
0.1,1002605670,0.06703633914045493,0.014277658438567431,True,0.7870161374914463,False
0.1,2064715617,0.06703633914045493,-0.02046446629271359,False,1.3052742222369322,False
0.1,1934775993,0.06703633914045493,-0.019332742026218153,False,1.2883919717887948,False
0.1,880714044,0.06703633914045493,0.07122434075519168,True,0.06247360265246634,True
0.1,366462766,0.06703633914045493,0.05504187678071548,True,0.1789247818949149,False
0.1,1149472811,0.06703633914045493,0.03298023472891232,True,0.508024525924485,False
0.1,2127422660,0.06703633914045493,0.021765087887045786,True,0.6753240381840744,False
0.1,133204120,0.06703633914045493,0.02519407737136037,True,0.6241728338032662,False
0.1,147336495,0.06703633914045493,0.04103274721861305,True,0.3879029233287784,False
0.1,226309129,0.06703633914045493,0.029323330022705485,True,0.5625756060266496,False
0.1,564817990,0.06703633914045493,-0.017722092041133175,False,1.264365451162268,False
0.1,1166499475,0.06703633914045493,-0.05384831731414663,False,1.8032705545170558,False
0.1,1995883050,0.06703633914045493,0.041441257365826156,True,0.3818090621118466,False
0.1,523183413,0.06703633914045493,0.038753816237124705,True,0.4218983802810669,False
0.1,1291507856,0.06703633914045493,-0.018735935524450298,False,1.2794892406817542,False
0.1,1594109277,0.06703633914045493,0.028444769811612813,True,0.5756813367744446,False
0.1,706607494,0.06703633914045493,-0.008143922336104836,False,1.1214851890859023,False
0.1,4839803,0.06703633914045493,0.004609259286729617,True,0.9312423777039455,False
0.5,1885044316,0.06703633914045493,0.06884880711997254,True,0.02703709663679761,True
0.5,788657138,0.06703633914045493,-0.003753922087574968,False,1.0559983157748176,False
0.5,63125817,0.06703633914045493,0.0383378604654262,True,0.4281033099808674,False
0.5,788076213,0.06703633914045493,0.007779926807350623,True,0.8839446349978916,False
0.5,1432434214,0.06703633914045493,0.015466278031702974,True,0.7692851633902928,False
0.5,136792646,0.06703633914045493,-0.011060353376541654,False,1.1649904144283287,False
0.5,1072332619,0.06703633914045493,-0.008486013210961652,False,1.1265882552622946,False
0.5,252500112,0.06703633914045493,0.013161204536513482,True,0.8036705956013193,False
0.5,456250081,0.06703633914045493,0.007505252853969413,True,0.8880420239201254,False
0.5,1670357332,0.06703633914045493,0.023360802940468717,True,0.651520306150325,False
0.5,24263246,0.06703633914045493,0.024306408917998845,True,0.6374144347728787,False
0.5,1058099819,0.06703633914045493,0.006745239488398336,True,0.8993793578992183,False
0.5,1908746351,0.06703633914045493,-0.02039578169464973,False,1.3042496346931531,False
0.5,573440366,0.06703633914045493,0.06553154538320727,True,0.022447433385268924,True
0.5,1295905169,0.06703633914045493,-0.01440000684297682,False,1.2148089682046306,False
0.5,1864059573,0.06703633914045493,0.00908794949527969,True,0.8644324912158677,False
0.5,2052416987,0.06703633914045493,-0.0035774829052912516,False,1.053366322671584,False
0.5,1493287366,0.06703633914045493,0.042468911949802735,True,0.3664792485039849,False
0.5,1063116763,0.06703633914045493,0.014681204765020328,True,0.7809963229904279,False
0.5,1226220039,0.06703633914045493,0.06320211643868634,True,0.05719618271121728,True
0.5,554667375,0.06703633914045493,0.009433359176247103,True,0.8592799174715929,False
0.5,978700656,0.06703633914045493,0.00017721953093341458,True,0.9973563662156117,False
0.5,912252074,0.06703633914045493,0.01435204776073662,True,0.7859064509673459,False
0.5,646447855,0.06703633914045493,0.03463412604643701,True,0.483352962131906,False
0.5,368691837,0.06703633914045493,0.014162962682611524,True,0.7887270864696653,False
0.5,1059373576,0.06703633914045493,0.02456529217872605,True,0.6335526000717804,False
0.5,408540052,0.06703633914045493,0.054541265660354,True,0.18639253933484012,False
0.5,324688850,0.06703633914045493,0.02898504110904543,True,0.5676219572743105,False
0.5,239318075,0.06703633914045493,-0.00581159417052135,False,1.0866931912607112,False
0.5,1226266502,0.06703633914045493,-0.006604585826743059,False,1.098522471713515,False
1.0,545142290,0.06703633914045493,0.034782345815320914,True,0.4811419259866691,False
1.0,1298437215,0.06703633914045493,0.0253283813865115,True,0.6221693828858504,False
1.0,1121507921,0.06703633914045493,0.00299547767948527,True,0.9553156136224992,False
1.0,712611988,0.06703633914045493,0.040264080175615335,True,0.3993693466575822,False
1.0,87884771,0.06703633914045493,0.06572997709883222,True,0.019487371452155424,True
1.0,856155904,0.06703633914045493,0.05419113475413395,True,0.19161554092934024,False
1.0,1268467119,0.06703633914045493,0.018148824687941878,True,0.729268857448848,False
1.0,540692150,0.06703633914045493,0.03005363076125478,True,0.551681503694791,False
1.0,405156768,0.06703633914045493,0.003367022203837444,True,0.9497731790397617,False
1.0,1416140956,0.06703633914045493,0.0375902275489397,True,0.4392559613050999,False
1.0,497924888,0.06703633914045493,-0.04607095749615553,False,1.6872534820200638,False
1.0,347052007,0.06703633914045493,0.020855886861288697,True,0.688886846616261,False
1.0,1334940912,0.06703633914045493,0.03141244355382744,True,0.5314117095802039,False
1.0,341171474,0.06703633914045493,0.024657720995551635,True,0.6321738133120809,False
1.0,984337592,0.06703633914045493,0.006812255765072273,True,0.8983796571766964,False
1.0,185774279,0.06703633914045493,0.02806419435754559,True,0.5813584882858038,False
1.0,2007239760,0.06703633914045493,0.04208910952518474,True,0.37214486851676976,False
1.0,1677254205,0.06703633914045493,0.030896580317069877,True,0.5391069871471474,False
1.0,681106541,0.06703633914045493,0.01638451025840315,True,0.7555876339834992,False
1.0,1806061864,0.06703633914045493,-0.0033687805098763235,False,1.0502530501079128,False
1.0,1536535611,0.06703633914045493,0.02676168129329548,True,0.600788443455657,False
1.0,2058326688,0.06703633914045493,0.03302721143940823,True,0.5073237610692101,False
1.0,200639697,0.06703633914045493,-0.028337876247934712,False,1.4227241017526484,False
1.0,1984392193,0.06703633914045493,0.023133334663588245,True,0.654913514666737,False
1.0,1115905855,0.06703633914045493,0.008694995542805506,True,0.8702942962832785,False
1.0,540061525,0.06703633914045493,0.02485321741661206,True,0.629257537996825,False
1.0,1567981325,0.06703633914045493,0.02994677486826458,True,0.5532755032234096,False
1.0,934507711,0.06703633914045493,0.07142273026216295,True,0.0654330349471744,True
1.0,1960938619,0.06703633914045493,0.029999953007967317,True,0.5524822298975599,False
1.0,1123140293,0.06703633914045493,0.012840388072342668,True,0.808456305386256,False
2.0,578931805,0.06703633914045493,0.049639246981485585,True,0.2595173361498582,False
2.0,1111871001,0.06703633914045493,0.06327681810831853,True,0.056081836811813696,True
2.0,2100019977,0.06703633914045493,-0.005250009007972234,False,1.0783158668162411,False
2.0,1626730281,0.06703633914045493,0.06390556687110771,True,0.04670261397758614,True
2.0,261195618,0.06703633914045493,0.05981715778039587,True,0.10769056682724554,True
2.0,1585621974,0.06703633914045493,0.06005601431456431,True,0.10412747646116831,True
2.0,1125741895,0.06703633914045493,0.06291642196686698,True,0.06145796781885532,True
2.0,78994861,0.06703633914045493,0.05123319166984852,True,0.23574001315160661,False
2.0,1050220859,0.06703633914045493,0.07668643789694107,True,0.14395324804755827,True
2.0,1921201979,0.06703633914045493,0.05869934306751223,True,0.12436532453651698,True
2.0,423266789,0.06703633914045493,0.05396311837230572,True,0.19501692568202628,False
2.0,969752811,0.06703633914045493,0.07002960592516116,True,0.04465140583579197,True
2.0,682780622,0.06703633914045493,0.04274787459650764,True,0.3623178839324438,False
2.0,1944459764,0.06703633914045493,0.031135054779213633,True,0.535549596257348,False
2.0,693171193,0.06703633914045493,0.015196550573018719,True,0.7733087640543912,False
2.0,891831583,0.06703633914045493,0.048937785588240135,True,0.2699812338244575,False
2.0,2043222105,0.06703633914045493,0.04595115575779163,True,0.314533634339511,False
2.0,556960853,0.06703633914045493,0.05041206861986969,True,0.2479889375485432,False
2.0,112500960,0.06703633914045493,0.056174501053440684,True,0.16202910579971344,False
2.0,1511540275,0.06703633914045493,0.06423986607184684,True,0.041715778404141354,True
2.0,1098949270,0.06703633914045493,0.03545720570244748,True,0.4710748504903089,False
2.0,749563224,0.06703633914045493,0.05223594901441797,True,0.2207815986942111,False
