epsilon,true_gap,dp_gap,direction_match,pct_diff,survived,debiased_dp_gap,debiased_direction_match,debiased_pct_diff,debiased_survived
0.1,0.06703633914045493,0.035491600194998196,True,0.47056177813296174,False,0.0017608889370229752,True,0.9737323225044621,False
0.5,0.06703633914045493,0.05716559279311162,True,0.1472447104646043,True,0.013961347137230073,True,0.7917346424902741,False
1.0,0.06703633914045493,0.046647689551675975,True,0.3041432430559869,False,0.021551525007081573,True,0.6785098159682215,False
2.0,0.06703633914045493,0.0936216762068075,True,0.39658097991674074,False,0.07108665070725306,True,0.060419641327846094,True
3.0,0.06703633914045493,0.05956734675024955,True,0.1114170685030443,True,0.0538223704684071,True,0.19711650190744817,False
4.0,0.06703633914045493,0.06614280143036,True,0.013329154329605943,True,0.0637043989902496,True,0.04970349206009334,True
5.0,0.06703633914045493,0.06721275466339482,True,0.0026316401701213443,True,0.06627755703088445,True,0.011318966985662397,True
6.0,0.06703633914045493,0.06603453813941107,True,0.014944148410981644,True,0.06569969671612141,True,0.019939072471319933,True
8.0,0.06703633914045493,0.06628808569288824,True,0.011161907961574952,True,0.06624218798733628,True,0.011846576995422431,True
10.0,0.06703633914045493,0.06703633914045493,True,0.0,True,0.06703006012232426,True,9.366588646056174e-05,True
